"Country","Service","year","export"
"Australia","Telecommunications, Computer & Information","2019",2.7064
"Australia","Charges For The Use Of Intellectual Property","2019",0.4051
"Australia","Personal, Cultural And Recreational","2019",0.0196
"Australia","Trade-Related","2019",0.9173
"Australia","Business Management","2019",1.723
"Australia","Other Services","2019",0
"Japan","Manufacturing Services On Physical Inputs Owned By Others","2018",3e-04
"Japan","Maintenance And Repair Services","2018",0.5707
"Japan","Transport","2018",4.6056
"Japan","Insurance","2018",0.7283
"Japan","Construction","2018",0.0243
"Japan","Financial","2018",1.4325
"Japan","Telecommunications, Computer & Information","2018",2.5839
"Japan","Charges For The Use Of Intellectual Property","2018",0.4072
"Japan","Personal, Cultural And Recreational","2018",0.0457
"Japan","Trade-Related","2018",0.7936
"Japan","Business Management","2018",2.8084
"Japan","Other Services","2018",10.4228
"China","Manufacturing Services On Physical Inputs Owned By Others","2018",0.0117
"China","Maintenance And Repair Services","2018",0.5836
"China","Transport","2018",13.4693
"China","Insurance","2018",0.9566
"China","Construction","2018",0.271
"China","Financial","2018",2.1675
"China","Telecommunications, Computer & Information","2018",0.715
"China","Charges For The Use Of Intellectual Property","2018",0.7917
"China","Personal, Cultural And Recreational","2018",0.0438
"China","Trade-Related","2018",1.921
"China","Business Management","2018",0.765
"China","Other Services","2018",1.3057
"USA","Manufacturing Services On Physical Inputs Owned By Others","2018",0.0749
"USA","Maintenance And Repair Services","2018",2.1898
"USA","Transport","2018",12.229
"USA","Insurance","2018",0.2451
"USA","Construction","2018",0.0095
"USA","Financial","2018",1.9825
"USA","Telecommunications, Computer & Information","2018",2.0796
"USA","Charges For The Use Of Intellectual Property","2018",0.3665
"USA","Personal, Cultural And Recreational","2018",0.5011
"USA","Trade-Related","2018",0.7781
"USA","Business Management","2018",5.434
"USA","Other Services","2018",2.4311
"UK","Manufacturing Services On Physical Inputs Owned By Others","2018",0
"UK","Maintenance And Repair Services","2018",0
"UK","Transport","2018",3.0749
"UK","Insurance","2018",0.2058
"UK","Construction","2018",0.0033
"UK","Financial","2018",4.5429
"UK","Telecommunications, Computer & Information","2018",0.4916
"UK","Charges For The Use Of Intellectual Property","2018",0.2308
"UK","Personal, Cultural And Recreational","2018",0
"UK","Trade-Related","2018",0.4297
"UK","Business Management","2018",2.3717
"UK","Other Services","2018",0.7587
"Australia","Manufacturing Services On Physical Inputs Owned By Others","2018",0
"Australia","Maintenance And Repair Services","2018",0.1575
"Australia","Transport","2018",5.8613
"Australia","Insurance","2018",0.4748
"Australia","Construction","2018",0.0456
"Australia","Financial","2018",1.9713
"Australia","Telecommunications, Computer & Information","2018",2.5536
"Australia","Charges For The Use Of Intellectual Property","2018",0.4046
"Australia","Personal, Cultural And Recreational","2018",0.0336
"Australia","Trade-Related","2018",0.7657
"Australia","Business Management","2018",1.5144
"Australia","Other Services","2018",0
"Japan","Manufacturing Services On Physical Inputs Owned By Others","2017",0
"Japan","Maintenance And Repair Services","2017",0.3704
"Japan","Transport","2017",3.3829
"Japan","Insurance","2017",0.5202
"Japan","Construction","2017",0.0063
"Japan","Financial","2017",1.134
"Japan","Telecommunications, Computer & Information","2017",2.6695
"Japan","Charges For The Use Of Intellectual Property","2017",0.4462
"Japan","Personal, Cultural And Recreational","2017",0.0451
"Japan","Trade-Related","2017",0.2967
"Japan","Business Management","2017",2.7237
"Japan","Other Services","2017",0
"China","Manufacturing Services On Physical Inputs Owned By Others","2017",0
"China","Maintenance And Repair Services","2017",0.5631
"China","Transport","2017",9.7197
"China","Insurance","2017",0.5902
"China","Construction","2017",0.1006
"China","Financial","2017",1.9265
"China","Telecommunications, Computer & Information","2017",0.6356
"China","Charges For The Use Of Intellectual Property","2017",0.6294
"China","Personal, Cultural And Recreational","2017",0
"China","Trade-Related","2017",1.6621
"China","Business Management","2017",0.6394
"China","Other Services","2017",1.4171
"USA","Manufacturing Services On Physical Inputs Owned By Others","2017",0.015
"USA","Maintenance And Repair Services","2017",2.1563
"USA","Transport","2017",6.7189
"USA","Insurance","2017",0.2569
"USA","Construction","2017",0.0024
"USA","Financial","2017",1.98
"USA","Telecommunications, Computer & Information","2017",1.6547
"USA","Charges For The Use Of Intellectual Property","2017",0.215
"USA","Personal, Cultural And Recreational","2017",0.2021
"USA","Trade-Related","2017",0.7808
"USA","Business Management","2017",5.0803
"USA","Other Services","2017",1.974
"UK","Manufacturing Services On Physical Inputs Owned By Others","2017",NA
"UK","Maintenance And Repair Services","2017",0
"UK","Transport","2017",2.2814
